soldprice,date,model
145.0,1/26,amd ryzen 5 3600
27.0,1/26,amd fx-4100
41.0,1/26,amd phenom ii x6
4.25,1/26,amd a4-5300
475.0,1/26,amd ryzen 9 3900
55.97,1/26,amd pro a10-7850b
12.99,1/26,amd sempron 3000
18.79,1/26,amd phenom ii x4 925
79.99,1/26,amd fx-4300
14.44,1/26,amd athlon ii x4 610e
53.43,1/27,amd a8-9600
33.43,1/27,amd fx-4130
30.23,1/27,amd a8-3870k
90.0,1/27,amd a10-5700
153.4,1/27,amd ryzen 7 1700
41.43,1/27,amd a8-7650k
101.41,1/27,amd fx-4170
55.58,1/27,amd a10-5800k
2028.87,1/27,amd epyc 7302
2754.27,1/27,amd epyc 7352
59.98,1/27,amd a10-6700
106.21,1/27,amd a12-9800e
4076.3,1/27,amd epyc 7f52
41.43,1/27,amd a10-5700
222.18,1/27,amd fx-9590
223.91,1/27,amd fx-9590
75.02,1/27,amd fx-8320
33.43,1/27,amd fx-4200
6.0,1/27,amd processor
66.22,1/27,amd a10-7860k
97.41,1/27,amd fx-8320e
49.43,1/27,amd a10-7700k
25.43,1/27,amd fx-4300
2044.65,1/27,amd epyc 7302
10.0,1/27,amd a4-3300m
138.2,1/27,amd ryzen 5 2600
2775.69,1/27,amd epyc 7352
4108.01,1/27,amd epyc 7f52
259.37,1/27,amd fx-8370e
41.43,1/27,amd a8-7600
42.31,1/27,amd a8-5600k
22.23,1/27,amd a8-3850
57.42,1/27,amd a10-6800k
25.43,1/27,amd fx-4100
57.42,1/27,amd a10-9700
39.83,1/27,amd a8-7500
44.63,1/27,amd fx-6200
35.83,1/27,amd x4-b97
75.72,1/27,amd fx-8300
36.63,1/27,amd fx-6100
45.19,1/27,amd a8-6600k
25.43,1/27,amd x4-805
45.43,1/27,amd fx-6300
28.63,1/27,amd x4-870k
35.83,1/27,amd a8-6500
20.0,1/27,amd opteron 2356
123.01,1/27,amd fx-8350
25.43,1/27,amd phenom ii x4 810
257.37,1/27,amd fx-8370e
79.82,1/27,amd a10-7870k
91.01,1/27,amd fx-8310
28.63,1/27,amd x4-910
65.42,1/27,amd fx-8150
55.82,1/27,amd a10-7800
55.98,1/27,amd a10-6790k
3.69,1/27,amd athlon
23.1,1/27,amd a8-3870
39.07,1/27,amd a8-5500
25.43,1/27,amd a8-3820
71.82,1/27,amd fx-6330
94.21,1/27,amd fx-4350
28.63,1/27,amd phenom ii x4 840
79.82,1/27,amd fx-8300
55.82,1/27,amd fx-8100
33.43,1/27,amd fx-770k
69.59,1/27,amd fx-8150
23.0,1/27,amd a6-6400k
62.22,1/27,amd a10-7850k
68.62,1/27,amd fx-6350
53.43,1/27,amd fx-8120
29.43,1/27,amd x4-b95
166.19,1/27,amd ryzen 5 3500x
200.0,1/28,amdryzen7_2700
200.0,1/28,amdryzen7_2700
31.15,1/28,amd k6-2
89.99,1/28,amd phenom ii x6 1055t
6.46,1/28,amd opteron 6378
350.0,1/29,amd ryzen threadripper 1950x
350.0,1/29,amd ryzen threadripper 1950x
200.0,1/29,amdryzen7_2700
200.0,1/29,amdryzen7_2700
120.0,1/29,amd ryzen 5 1600
35.0,1/29,amd phenom x4 9750
35.0,1/29,amd phenom x4 9750
35.0,1/29,amd phenom x4 9750
35.0,1/29,amd phenom x4 9750
22.0,1/29,amd sempron 2400+
74.99,1/30,amd fx-6300
99.98,1/30,amd ryzen 3 1200
79.0,1/30,amd fx-4170
200.0,1/30,amdryzen7_2700
8.99,1/30,amd athlon ii x4 630
99.58,1/30,amd athlon 200ge
35.0,1/30,amd phenom x4 9750
350.0,1/30,amd ryzen threadripper 1950x
36.61,1/30,amd k6-2
20.0,1/30,amd athlon x4 740
8.99,1/31,amd athlon 64 3500+
8.5,1/31,amd athlon 300u
42.95,1/31,amd a10-6800b
23.99,2/01,amd dx4-100
48.0,2/01,amd opteron 6378
9.0,2/01,amd a4-3300
25.0,2/01,amd opteron 6378
10.0,2/01,amd athlon x2 4450e
33.0,2/01,amd opteron 6378
80.0,2/01,amd_athlon-3000g
9.99,2/01,amd-k6
90.0,2/01,amd_athlon-3000g
31.0,2/01,amd opteron 6378
80.0,2/01,amd_athlon-3000g
28.0,2/01,amd opteron 6378
28.0,2/01,amd opteron 6378
15.5,2/01,amd opteron 6378
79.95,2/01,amd athlon
15.99,2/01,amd a4-3400
15.5,2/01,amd opteron 6378
80.0,2/01,amd_athlon-3000g
14.41,2/02,amd athlon 64 x2 5200+
24.49,2/02,amd fx-4300
13.95,2/02,amd a4-4000
79.97,2/02,amd phenom ii x6 1090t
7.95,2/02,amd a4-3420
7.95,2/02,amd a4-3420
41.99,2/02,amd a8-6500
9.95,2/02,amd a6-3500
19.95,2/02,amd athlon ii x2 255
7.95,2/02,amd e2-3200
3.0,2/02,amd sempron m120
7.95,2/02,amd a4-3300
79.99,2/03,amd a10-7850k
207.99,2/03,amd ryzen 5 3600x
16.1,2/03,amd opteron 8220
400.0,2/03,amd ryzen 3 3200g
69.99,2/03,amd fx-8300
207.99,2/03,amd ryzen 5 3600x
400.0,2/03,amd ryzen 3 3200g
19.99,2/03,amd athlon
159.99,2/04,amd a4-5300
58.0,2/04,amd a4-7300
18.0,2/04,amd a4-6300
25.0,2/04,amd sempron 2500+
79.99,2/04,amd-k6-2
8.99,2/04,amd a10-5700
85.0,2/04,amd ryzen3_1200
85.0,2/04,amd ryzen3_1200
80.0,2/04,amd_athlon-3000g
85.0,2/04,amd ryzen3_1200
85.0,2/04,amd ryzen3_1200
0.99,2/04,amd sempron 2650
85.0,2/04,amd ryzen3_1200
20.79,2/05,amd athlon ii x4 640
80.0,2/05,amd_athlon-3000g
45.99,2/05,amd a8-3800
10.0,2/05,amd opteron 6174
10.5,2/05,amd a6-3650
148.6,2/05,amd ryzen 5 3500
90.0,2/05,amd a10-5800k
85.0,2/05,amd ryzen3_1200
90.0,2/05,amd a10-5800k
15.99,2/06,amd a6-5400k
99.95,2/06,amd phenom ii x6 1045t
199.95,2/06,amd ryzen 5 1400
1113.2,2/06,amd ryzen 9 5900x
149.93,2/06,amd phenom ii x6 1055t
1107.12,2/06,amd ryzen 9 5900x
99.95,2/06,amd a10-5800k
9.95,2/06,amd phenom ii x2 550
99.96,2/06,amd a10-5700
27.41,2/07,amd amd-k6-2
37.0,2/07,amd fx-4130
250.0,2/07,amd ryzen threadripper 1920x
16.95,2/08,amd phenom x4 9500
17.0,2/08,amd athlon 64 x2 5600+
62.63,2/08,amd a10-5700
11.77,2/08,amd amd-k6-2
59.99,2/08,amd phenom ii x6 1035t
19.13,2/08,amd k6-2
286.88,2/09,amd ryzen 7 3700x
19.95,2/09,amd -k6-2
144.99,2/09,amd fx-8350
286.88,2/09,amd ryzen 7 3700x
15.0,2/09,amd ryzen 5 1600
15.45,2/09,amd 6320
29.99,2/10,amd a8-7600
12.0,2/10,amd ryzen
18.38,2/10,amd amd-k6-2
15.99,2/10,amd a8-5500
23.99,2/10,amd fx-4130
52.99,2/10,amd a10-7800
20.82,2/10,amd athlon ii x2 250
10.2,2/10,amd athlon ii x2 220
14.0,2/10,amd sempron 3200+
25.98,2/10,amd a6-4400m
11.99,2/10,amd a4-5300
14.7,2/10,amd amd-k6-2
6.97,2/11,amd athlon 64 x2 3800+
17.75,2/11,amd phenom x4 9150e
26.68,2/11,amd am486dx2
28.0,2/11,amd opteron 6378
19.57,2/11,amd athlon x2 340
16.13,2/11,amd opteron 6174
25.0,2/12,amd a8-6500
175.0,2/12,amd ryzen 5 1600
91.81,2/12,amd amd-k6-2
89.5,2/13,amd a10-7860k
12.95,2/13,amd a4-4000
7.6,2/13,amd sempron 145
20.0,2/14,amd athlon x2
5.99,2/14,amd sempron 2200
34.99,2/14,amd fx-4300
8.0,2/14,amd a6-3600
15.0,2/14,amd a6-6400k
16.95,2/15,amd athlon xp 2100+
29.99,2/15,amd opteron 6212
19.99,2/15,amd a6-3600
29.99,2/15,amd athlon ii x4 640
26.49,2/15,amd phenom ii x4 945
12.0,2/15,amd athlon 64 x2
24.99,2/16,amd athlon x2 5600+
29.99,2/16,amd phenom ii x2 521
28.0,2/16,amd opteron 6180
24.99,2/16,amd athlon ii x4 620
22.99,2/16,amd a4-6300
4068.67,2/16,amd epyc 7552
24.99,2/16,amd athlon ii x2 260
27.99,2/16,amd a4-5300
39.99,2/16,amd athlon 64 x2 4200+
5.5,2/16,amd a6-4400m
4982.04,2/16,amd epyc 7742
19.99,2/16,amd athlon ii x2 240
4982.04,2/16,amd epyc 7702
1669.8,2/16,amd epyc 7272
788.82,2/16,amd epyc 7272
74.99,2/16,amd phenom ii x3 740
19.99,2/16,amd athlon x2 4450b
9.99,2/16,amd athlon ii x2 240
4091.01,2/16,amd epyc 7552
19.99,2/16,amd athlon ii x3 450
179.96,2/16,amd ryzen 5 1600
19.99,2/16,amd athlon ii x2 220
13.99,2/16,amd athlon ii x4 630
19.99,2/16,amd athlon ii x2 b24
24.99,2/16,amd athlon 64 1640b
49.99,2/16,amd phenom ii x4 955
174.96,2/16,amd ryzen 5 1600
27.99,2/16,amd athlon 64 3200+
19.99,2/16,amd athlon ii x2 240
99.0,2/16,amd opteron 8354
14.97,2/16,amd athlon x2 3800+
19.99,2/16,amd sempron le-1200
22.5,2/17,amd opteron 6180
201.49,2/17,amd ryzen 3 3100
35.0,2/17,amd opteron 6164
199.94,2/17,amd ryzen 3 3100
21.99,2/17,amd opteron 6344
40.0,2/17,amd a8-6500
19.99,2/17,amd athlon x2 7550
15.0,2/17,amd athlon 64 x2 6000+
22.5,2/17,amd opteron 6234
19.99,2/18,amd athlon 64 3500+
19.99,2/18,amd athlon 64 x2 4400+
219.97,2/18,amd phenom ii x4 955
24.99,2/18,amd a8-5500
29.99,2/18,amd athlon x2 4050e
17.99,2/18,amd phenom x3 8400
29.99,2/18,amd athlon ii x2 b22
52.97,2/18,amd fx-4170
19.99,2/18,amd athlon 64 x2 4000+
26.49,2/18,amd phenom ii x4 955
44.99,2/18,amd phenom ii x4 b95
17.99,2/18,amd athlon 64 x2 3800+
24.95,2/18,amd a6-6400k
16.99,2/18,amd athlon ii x4 645
19.99,2/18,amd a6-5400b
44.5,2/18,amd opteron 6378
17.99,2/18,amd a8-6500
19.99,2/18,amd athlon 64 3500+
19.49,2/18,amd athlon x4 760k
19.99,2/18,amd athlon ii x2 255
89.99,2/18,amd athlon 64 x2 5000b
59.99,2/18,amd a10-6700
19.99,2/18,amd athlon ii 170u
44.99,2/18,amd a8-5500
24.99,2/18,amd fx-4100
17.99,2/18,amd athlon 64 x2 3800+
17.99,2/18,amd athlon ii x2 260
15.0,2/19,amd athlon 64 x2
49.95,2/19,amd athlon 64
4.99,2/19,amd athlon 64 le-1600
25.95,2/19,amd athlon
30.0,2/19,amd a10-5700
14.99,2/19,amd athlon ii x4 620
6.99,2/19,amd athlon 4200+
9.95,2/19,amd athlon x2 3800+
18.99,2/19,amd athlon 64 6000+
90.0,2/19,amd ryzen 5 1400
19.99,2/19,amd athlon 64 6000+
2.99,2/19,amd sempron le-1200
18.95,2/19,amd sempron 140
36.61,2/19,amd amd-k6-2
49.66,2/20,amd a10-6700
8.99,2/20,amd athlon xp 2000+
12.99,2/20,amd athlon xp 2000+
17.99,2/20,amd athlon 64 4000+
289.0,2/20,amd ryzen 5 3600x
11.55,2/20,amd athlon ii x2 280
82.86,2/20,amd a10-7870k
14.99,2/20,amd opteron 2216
49.99,2/20,amd athlon ii x2 215
13.39,2/20,amd phenom x4 9650
9.99,2/20,amd k6-2
21.99,2/20,amd phenom x3
6.95,2/20,amd athlon ii x2 260
19.99,2/20,amd athlon ii x2 215
14.0,2/21,amd phenom ii 521
9.99,2/21,amd athlon 64 x2 tk-57
2.99,2/21,amd sempron 145
45.0,2/21,amd opteron 6164
18.0,2/21,amd a6-3650
100.0,2/21,amd opteron 6174
299.99,2/22,amd ryzen 7 3700x
649.99,2/22,amd ryzen 9 3950x
19.99,2/22,amd phenom ii x3 b75
17.79,2/22,amd phenom x4 9600
44.99,2/22,amd a8-6500
60.51,2/22,amd phenom ii x6 1055t
23.0,2/22,amd a8-6500
46.49,2/22,amd a8-6600k
55.99,2/22,amd a8-7650k
19.99,2/22,amd phenom ii x3 b75
60.98,2/22,amd a8-7500
60.51,2/22,amd phenom ii x6 1055t
14.5,2/22,amd a6-3410mx
299.99,2/22,amd ryzen 7 3700x
60.0,2/22,amd fx-6100
649.99,2/22,amd ryzen 9 3950x
16.99,2/23,amd athlon x4 830
50.11,2/23,amd fx-4300
38.68,2/23,amd fx-4300
17.99,2/23,amd athlon ii x2 b26
11.86,2/23,amd athlon ii x3 445
16.45,2/23,amd athlon ii x4 640
14.9,2/23,amd athlon 64 x2
13.0,2/23,amd athlon 64
250.0,2/23,amd athlon fx 74
17.99,2/23,amd athlon ii x2 b24
35.65,2/23,amd fx-6200
15.4,2/23,amd athlon 64 x2
11.5,2/23,amd athlon 64 x2
17.99,2/23,amd athlon ii x2 b26
8.0,2/23,amd athlon ii x2 270
30.0,2/23,amd phenom ii
45.0,2/23,amd phenom ii
15.65,2/23,amd athlon ii x4 630
82.86,2/23,amd a10-7800
10.86,2/23,amd athlon ii x3 425
75.88,2/23,amd a10-7860k
19.99,2/24,amd sempron 140
49.99,2/24,amd athlon 64 3200+
19.99,2/24,amd sempron 64 le-1300
17.51,2/24,amd athlon ii x4
16.74,2/24,amd athlon ii x4
21.95,2/24,amd athlon ii x4
15.19,2/24,amd athlon ii x4
18.99,2/24,amd phenom ii x2 550
89.99,2/24,amd phenom ii x6 1045t
15.19,2/24,amd athlon ii x4
17.04,2/24,amd athlon ii x4
29.99,2/24,amd athlon ii x2 270
5.0,2/24,amd athlon 64 3800
19.99,2/24,amd phenom x3 8750b
17.99,2/24,amd phenom ii x4 840
16.88,2/24,amd athlon ii x4
23.0,2/24,amd phenom ii x4 820
19.99,2/24,amd a4-5300b
19.99,2/24,amd phenom ii x3 b75
39.99,2/24,amd athlon x2 5400b
9.2,2/24,amd opteron 6212
499.99,2/25,amd ryzen 7 5800x
499.99,2/25,amd ryzen 7 5800x
12.16,2/25,amd a6-7400
79.99,2/25,amd athlon ii x4 630
15.0,2/25,amd a4-7300
5.0,2/25,amd athlon ii 170u
32.29,2/25,amd a8-3870k
75.0,2/25,amd a10-5800k
22.98,2/26,amd fx-4100 fx-4130 fx-4300 fx-4350
69.79,2/26,amd fx-8100 8120 8150
54.86,2/26,amd fx-4100 fx-4130 fx-4300 fx-4350
19.99,2/26,amd athlon 64 tf-20
22.39,2/26,amd fx-4100 fx-4130 fx-4300 fx-4350
22.39,2/26,amd fx-4100 fx-4130 fx-4300 fx-4350
28.98,2/26,amd fx-4100 fx-4130 fx-4300 fx-4350
27.99,2/26,amd a4-5300
19.99,2/26,amd a4-4300m
29.99,2/26,amd sempron 64 le-1250
90.0,2/26,amd a10-9700e
58.59,2/26,amd fx-8100 8120 8150
58.59,2/26,amd fx-8100 8120 8150
154.99,2/26,amd ryzen 5 pro 2400g
111.93,2/26,amd a4-5300
19.99,2/26,amd a6-4400m
13.0,2/26,amd athlon xp
49.99,2/26,amd athlon 64 x2 ql-62
67.98,2/26,amd fx-8100 8120 8150
11.79,2/27,amd a4-3400
7.95,2/27,amd athlon 64 x2 ad05000iaa5d0
8.99,2/27,amd athlon 64 x2 4400+
12.0,2/27,amd athlon 64 2850e
13.2,2/27,amd a6-4400m
179.96,2/27,amd ryzen 7 1700
45.0,2/27,amd a4-7300
37.87,2/27,amd phenom ii x4 965
29.99,2/28,amd a6-6400k
94.99,2/28,amd fx-6350
29.99,2/28,amd athlon ii x2 250
11.86,2/28,amd athlon x2 4600+
39.95,3/01,amd a6-6400k
12.9,3/01,amd athlon ii x4 620
79.95,3/01,amd a10-7850k
32.87,3/01,amd athlon x4 860k
12.99,3/01,amd athlon 64 x2
15.0,3/01,amd athlon 64 x2 ql-64
25.0,3/01,amd phenom x3 8400
19.95,3/02,amd sempron 145
19.99,3/02,amd athlon 64 x2 3800+
89.99,3/02,amd athlon 64 3800+
34.99,3/02,amd phenom ii x4 840
19.99,3/02,amd athlon 64 x2 5200+
35.99,3/02,amd phenom ii x4 820
24.99,3/02,amd a8-5500b
17.99,3/02,amd a6-5350m
56.99,3/02,amd fx-6300
19.99,3/02,amd athlon ii x2 b28
39.99,3/02,amd athlon xp 2400+
24.99,3/02,amd phenom ii x4 840
54.95,3/02,amd phenom ii x 6 1055t
15.16,3/02,amd athlon xp 2800+
34.99,3/02,amd fx-4300
24.99,3/02,amd athlon 64 3800+
19.99,3/02,amd athlon ii x2 215
22.99,3/02,amd athlon ii x4 640
22.78,3/02,amd athlon x4 760k
24.99,3/02,amd athlon 64 3800+
11.99,3/02,amd k6-2
17.99,3/02,amd a6-3410mx
17.99,3/02,amd athlon ii x2 b24
8.5,3/02,amd phenom x4 9100e
22.99,3/02,amd athlon 64 x2 4800+
19.99,3/02,amd athlon 64 x2 4400+
49.99,3/02,amd phenom ii x4 955
19.99,3/02,amd athlon ii x2 215
39.99,3/02,amd athlon 64 x2 4800+
22.0,3/03,amd a4-7300
22.99,3/03,amd athlon 64 x2 4800+
29.99,3/03,amd sempron 3000
55.78,3/03,amd fx-6200
19.99,3/03,amd athlon ii x2 240
24.99,3/03,amd athlon 64 x2 5000+
7.96,3/03,amd sempron 2300+
24.99,3/03,amd athlon 64 x2 6000+
16.99,3/03,amd sempron 3000
29.99,3/03,amd sempron 2500+
29.99,3/03,amd athlon cpu 2000
18.89,3/03,amd athlon ii x4 640
16.99,3/03,amd athlon cpu 2000
12.95,3/03,amd a4-6300
54.99,3/03,amd a8-6500
19.99,3/03,amd athlon x4 950
59.99,3/03,amd a6-3650
27.49,3/04,amd phenom ii x4 965
5.0,3/04,amd athlon ii x4 635
49.99,3/04,amd opteron 6272
17.99,3/04,amd k6-2
24.99,3/04,amd phenom x3 8400
9.89,3/04,amd a6-3650
39.99,3/04,amd athlon 1200
24.99,3/04,amd phenom ii x2 511
27.99,3/04,amd athlon 64 3200+
24.99,3/04,amd athlon xp 2000+
64.98,3/04,amd fx-8120
39.99,3/04,amd athlon 64 3800+
420.0,3/05,amd epyc 7451
3.49,3/05,amd athlon xp 1600+
34.99,3/05,amd athlon x2 370k
11.99,3/05,amd a4-5300
15.0,3/05,amd athlon 64 x2
17.0,3/05,amd opteron 6378
85.0,3/05,amd phenom ii x6 1045t
6.95,3/05,amd athlon ii x 2 b24
420.0,3/05,amd epyc 7451
8.99,3/05,amd duron 800
34.9,3/05,amd phenom ii x4 955
31.5,3/05,amd opteron 6200
14.99,3/05,amd a4-6300
7.99,3/05,amd duron 700
15.0,3/05,amd athlon ii x2 245
29.25,3/05,amd am486dx2
53.99,3/06,amd phenom ii x6 1035t
16.95,3/06,amd phenom x4 9150e
12.99,3/07,amd a10-5700
45.98,3/07,amd a8-6600k
15.0,3/07,amd athlon ii 160u
40.0,3/07,amd fx-4100
70.0,3/07,amd phenom ii x4 970
88.13,3/08,amd am486dx4
8.0,3/08,amd amd-k6-2
25.0,3/08,amd athlon xp 2600+
8.0,3/08,amd amd-k6-2
94.87,3/08,amd athlon 200ge
14.99,3/08,amd k6-2
16.42,3/08,amd athlon ii x4 640
25.0,3/08,amd phenom ii x4 805
5.0,3/08,amd a6-3500
140.0,3/08,amd ryzen 3 3100
37.69,3/09,amd phenom ii x4 955
159.96,3/09,amd phenom ii x6 1100t
37.69,3/09,amd phenom ii x4 955
43.56,3/09,amd fx-6100
40.0,3/09,amd phenom ii x4 955
249.99,3/09,amd ryzen threadripper 1920x
35.69,3/09,amd phenom ii x4 965
33.69,3/09,amd  fx-4100
20.0,3/09,amd opteron 252
10.0,3/09,amd athlon ii x2 260
12.0,3/09,amd a4-6300
10.0,3/09,amd a4-5300
230.0,3/09,amd ryzen threadripper 1900x
29.95,3/09,amd athlon ii x4 620
18.21,3/10,amd amd-k6-2
19.99,3/10,amd ryzen 3 2200g
32.0,3/10,amd a10-5700
